Brand;Model;Case Material;Strap Material;Dial Color;Crystal Material;Complications;Movement Type;Water Resistance;Case Diameter (mm);Case Thickness (mm);Power Reserve;Price (USD);Band Width (mm)
Rolex;Submariner;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;300;40;13;48;9500;20
Omega;Seamaster;Titanium;Rubber;Blue;Sapphire;Date;5;600;435;1447;60;5800;21
Tag Heuer;Carrera;Stainless Steel;Leather;White;Sapphire;Chronograph;5;100;41;13;42;4200;20
Breitling;Navitimer;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;5;30;43;1425;70;7900;22
Cartier;Tank Solo;Stainless Steel;Leather;Silver;Sapphire;None;1;30;31;605;65;2800;20
Jaeger-LeCoultre;Reverso;Stainless Steel;Leather;Black;Sapphire;None;3;30;429;92;45;5500;20
Seiko;Prospex;Stainless Steel;Rubber;Black;Sapphire;Date;5;200;443;129;50;1400;20
Citizen;Promaster;Stainless Steel;Stainless Steel;Black;Mineral;Chronograph;1;200;42;13;270;1200;22
Tissot;Le Locle;Stainless Steel;Leather;White;Sapphire;Date;5;30;393;975;38;650;19
Hamilton;Khaki Field;Stainless Steel;Leather;Black;Sapphire;None;5;100;38;98;80;495;20
Longines;Master Collection;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;385;97;64;1150;20
Oris;Big Crown ProPilot;Stainless Steel;Textile;Black;Sapphire;Date GMT;5;100;41;12;38;1800;20
Bell & Ross;Aviation;Stainless Steel;Rubber;Black;Sapphire;Chronograph;5;100;42;115;42;4500;24
Sinn;104;Stainless Steel;Leather;Black;Sapphire;Date;5;200;41;115;42;1400;20
Breguet;Classique;18k White Gold;Leather;Silver;Sapphire;None;3;30;38;865;40;16000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;50;41;98;60;22000;20
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;41;11;40;19000;22
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph Tachymeter;5;50;42;145;60;4500;20
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;500;42;133;38;3200;20
Panerai;Luminor Base Logo;Stainless Steel;Leather;Black;Sapphire;None;3;100;44;105;56;3900;22
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;None;5;200;41;119;70;3500;22
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;GMT;5;100;40;125;48;14000;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;41;125;42;4800;20
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;None;5;50;39;758;70;7500;20
Bell & Ross;BR 03-92;Ceramic;Rubber;Black;Sapphire;None;5;100;42;93;42;23000;22
Montblanc;1858 Geosphere;Stainless Steel;Leather;Black;Sapphire;World Time GMT;5;100;42;112;42;6200;22
Cartier;Santos-Dumont;Stainless Steel;Leather;Silver;Sapphire;None;1;30;38;75;32;3500;18
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;104;60;21000;20
Rolex;Datejust;Stainless Steel;Jubilee;Silver;Sapphire;Date;5;100;36;12;70;9000;20
Omega;Speedmaster Moonwatch;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph Tachymeter;3;50;42;143;48;5250;20
IWC;Portugieser;Stainless Steel;Alligator;Silver;Sapphire;Date;5;30;404;123;60;8800;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;104;60;17800;20
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;154;120;11500;23
Zenith;El Primero;Stainless Steel;Alligator;Silver;Sapphire;Chronograph;5;100;42;1275;50;6500;20
Breguet;Classique;18K Rose Gold;Leather;Silver;Sapphire;None;5;30;39;865;45;23500;20
Piaget;Polo S;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;94;50;10000;24
Ulysse Nardin;Marine;Stainless Steel;Rubber;Blue;Sapphire;Date;5;100;44;125;60;9500;22
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;150;41;11;60;21500;20
Jaquet Droz;Grande Seconde;Stainless Steel;Leather;Black;Sapphire;None;5;30;43;1227;68;9800;23
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;19900;20
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;155;120;14400;22
Breguet;Type XXI;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;42;1385;48;9500;22
Bulgari;Octo Finissimo;Titanium;Leather;Black;Sapphire;None;5;100;40;515;60;12800;28
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;44;137;42;6500;20
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;None;5;100;42;1088;54;7800;20
Glashütte Original;Senator;Stainless Steel;Leather;Silver;Sapphire;None;5;50;42;122;40;9200;21
Hublot;Classic Fusion;Titanium;Rubber;Black;Sapphire;None;5;50;42;93;42;6500;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;41;123;60;8400;22
Jaquet Droz;Grande Seconde;Stainless Steel;Leather;Silver;Sapphire;None;5;30;43;1213;68;6200;23
Longines;Master Collection;Stainless Steel;Leather;Blue;Sapphire;Date;5;30;385;93;42;1600;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;29800;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;24500;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;41;123;60;7950;22
Hublot;Classic Fusion;Titanium;Rubber;Black;Sapphire;None;5;50;42;105;42;8200;22
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;154;120;11500;23
Zenith;Chronomaster;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;42;131;50;9400;22
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;None;5;100;38;1088;54;6700;25
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;42;1143;42;6100;20
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;150;41;11;60;16300;22
Montblanc;1858;Stainless Steel;Leather;Black;Sapphire;None;5;100;42;128;38;3600;22
Ulysse Nardin;Marine;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;44;125;60;9500;22
Rolex;Datejust;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;100;41;112;70;8900;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Moon Phase;5;120;408;83;48;44500;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;17000;20
Tudor;Black Bay;Stainless Steel;Fabric;Black;Sapphire;None;5;200;41;127;70;4500;22
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;Chronograph Date;5;30;41;123;46;8300;22
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date Second Time Zone;5;300;44;1305;72;8900;24
Blancpain;Fifty Fathoms;Stainless Steel;Fabric;Black;Sapphire;Date Unidirectional Bezel;5;300;436;1383;120;12000;23
Hublot;Classic Fusion;Titanium;Rubber;Blue;Sapphire;Date;5;50;45;1095;42;7500;24
Zenith;Chronomaster;Stainless Steel;Leather;Silver;Sapphire;Chronograph Date;5;50;42;1405;50;6900;22
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Second Time Zone;5;50;41;11;60;15500;20
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;None;5;100;42;1088;54;11200;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Power Reserve Indicator;5;50;39;94;60;18900;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;49800;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date Chronograph;5;60;41;125;44;5500;20
Panerai;Luminor;Titanium;Rubber;Black;Sapphire;Date;5;300;44;1565;72;9600;24
Breguet;Type XX;Stainless Steel;Leather;Black;Sapphire;Date Chronograph Flyback;5;100;395;141;48;8800;20
Blancpain;Fifty Fathoms;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;43;134;120;14700;23
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;1088;54;10600;22
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;150;41;11;60;19200;20
Zenith;El Primero;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;38;1215;50;7500;19
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;42;1267;48;5600;20
Longines;HydroConquest;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;300;43;1275;64;1400;22
Rolex;Submariner;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;300;40;13;48;9500;20
Omega;Seamaster;Titanium;Rubber;Blue;Sapphire;Date;5;600;435;1447;60;5800;21
Tag Heuer;Carrera;Stainless Steel;Leather;White;Sapphire;Chronograph;5;100;41;13;42;4200;20
Breitling;Navitimer;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;5;30;43;1425;70;7900;22
Cartier;Tank Solo;Stainless Steel;Leather;Silver;Sapphire;None;1;30;31;605;56;2800;20
Jaeger-LeCoultre;Reverso;Stainless Steel;Leather;Black;Sapphire;None;3;30;429;92;45;5500;20
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;Date;5;200;41;1275;70;3500;22
Seiko;Prospex;Stainless Steel;Silicone;Blue;Hardlex;None;5;200;423;134;50;650;22
Citizen;Promaster;Titanium;Titanium;Black;Sapphire;Chronograph;1;200;465;15;210;995;23
Hamilton;Khaki Field Auto;Stainless Steel;Leather;Black;Sapphire;None;5;100;38;985;80;545;20
Bulova;Precisionist;Stainless Steel;Stainless Steel;Black;Mineral;Chronograph;1;300;465;175;67;650;24
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph Tachymeter;3;50;42;143;48;5500;20
Breitling;Superocean Heritage;Stainless Steel;Rubber;Black;Sapphire;Date;5;200;42;1435;38;4800;22
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;88;70;6500;20
Cartier;Santos;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;100;398;908;42;7500;215
Zenith;Elite;Stainless Steel;Leather;Silver;Sapphire;None;5;50;405;915;50;4500;20
Panerai;Luminor Base;Stainless Steel;Leather;Black;Sapphire;None;3;100;44;105;56;5800;24
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;50;41;104;60;21000;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;41;1086;42;3800;20
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;Date;5;200;41;127;70;3900;22
Longines;Conquest VHP;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph Date;1;50;41;121;66;1500;20
Sinn;U1;Stainless Steel;Rubber;Black;Sapphire;None;5;1000;44;143;38;2500;22
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Power Reserve Moon Phase;5;120;408;83;45;38000;20
Audemars Piguet;Royal Oak;Rose Gold;Rose Gold;Blue;Sapphire;Date;5;50;41;98;60;55000;20
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Power Reserve;5;150;41;11;40;21000;22
A. Lange & Sohne;Saxonia;White Gold;Leather;Silver;Sapphire;None;3;30;385;78;45;23000;18
Breguet;Classique;Rose Gold;Leather;Silver;Sapphire;Power Reserve;3;30;385;825;65;23000;20
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;None;5;30;41;123;60;8500;22
Blancpain;Fifty Fathoms;Stainless Steel;Fabric;Black;Sapphire;Date;5;300;45;155;120;14000;23
Hublot;Big Bang;Titanium;Rubber;Blue;Sapphire;Chronograph;5;100;44;145;72;16000;24
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;None;5;300;44;1565;72;8500;24
Zenith;El Primero;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;42;1275;50;6000;20
Piaget;Altiplano;White Gold;Leather;Silver;Sapphire;None;3;30;38;61;43;16500;20
Seiko;Prospex;Stainless Steel;Silicone;Blue;Sapphire;Day/Date;5;200;443;127;41;1200;20
Panerai;Luminor Due;Stainless Steel;Leather;Black;Sapphire;None;5;30;38;112;72;6500;20
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;Chronograph Moon Phase;5;30;41;123;46;9800;22
Blancpain;Fifty Fathoms;Titanium;Rubber;Black;Sapphire;None;5;300;45;155;120;16800;23
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;95;60;19800;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;45;47000;20
Breguet;Classique;18K Rose Gold;Leather;White;Sapphire;None;5;30;40;68;55;19000;20
Vacheron Constantin;Patrimony;18K White Gold;Leather;Silver;Sapphire;None;3;30;40;679;65;18500;20
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;44;1497;42;5800;22
Longines;Conquest;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;5;300;41;132;54;2200;20
Montblanc;1858;Stainless Steel;Leather;Black;Sapphire;None;3;30;44;123;50;3500;22
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;GMT Date;5;100;40;125;70;9950;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;5;50;42;137;48;4950;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;45;38000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;22000;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;41;123;46;7500;22
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;39;758;70;8900;20
Blancpain;Fifty Fathoms;Stainless Steel;Fabric;Black;Sapphire;Date;5;300;45;154;120;13900;23
Breguet;Classique;Rose Gold;Leather;Silver;Sapphire;None;3;30;40;68;65;20500;20
Ulysse Nardin;Marine;Titanium;Rubber;Blue;Sapphire;Date;5;300;44;145;60;9500;22
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;41;145;72;16000;20
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Chronograph;5;100;38;1275;50;5500;20
Rolex;Datejust;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;41;118;70;8200;20
Omega;Speedmaster Moonwatch;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph Tachymeter;3;50;42;132;48;5500;20
Cartier;Ballon Bleu;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;30;33;996;42;6500;18
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;500;42;1332;38;3600;20
Patek Philippe;Calatrava;Rose Gold;Leather;White;Sapphire;None;3;30;36;745;44;18000;18
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph Date;5;100;42;145;72;8900;24
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date Rotating Bezel;5;300;45;154;120;13500;23
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;26000;20
Zenith;El Primero;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;100;42;1275;50;6500;22
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;415;123;60;7800;22
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;None;5;50;38;758;70;4500;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;29800;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;98;60;23100;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;41;123;60;7950;22
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;415;11;40;18900;22
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;155;120;12800;23
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;17900;26
Breguet;Classique;18k Rose Gold;Leather;Silver;Sapphire;None;3;30;39;865;40;15200;20
Ulysse Nardin;Marine;Stainless Steel;Leather;Blue;Sapphire;Date;5;100;422;142;60;8400;22
Zenith;Defy;Titanium;Rubber;Blue;Sapphire;Chronograph;5;100;41;1075;50;9500;22
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Silver;Sapphire;None;5;100;42;1088;46;9200;22
Panerai;Luminor;Stainless Steel;Leather;Black;Sapphire;None;3;100;44;1305;56;7500;24
Seiko;Prospex;Stainless Steel;Silicone;Blue;Hardlex;Date;5;200;43;132;50;1300;22
Tissot;Le Locle;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;393;975;38;650;20
Longines;Master Collection;Stainless Steel;Leather;Black;Sapphire;Date;5;30;40;1025;64;2500;20
Hamilton;Jazzmaster;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;1115;80;1150;20
Montblanc;Heritage;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;985;42;2750;20
Rado;True Thinline;High-Tech Ceramic;Leather;Black;Sapphire;None;1;30;39;5;45;1600;22
Frederique Constant;Classics;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;105;38;1400;20
Zenith;Elite;Stainless Steel;Leather;White;Sapphire;Date;5;50;405;815;50;5500;22
